meet_name,meet_date,season_year,race_name,course_name,gender
CA State Championship,2016-11-27,2016,Not Disclosed,"Woodward Park, 5 Kilometers",M
CCS Championsips,2016-11-12,2016,Not Disclosed,"Crystal Springs, 2.95 Miles",M
BVAL Championships,2016-10-31,2016,Not Disclosed,"Crystal Springs, 2.95 Miles",M
Mt. Sac XC Invitational,2016-10-22,2016,Not Disclosed,"Mt SAC, 2.93 Miles",M
League Meet,2016-10-19,2016,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Crystal Springs Invitational,2016-10-08,2016,Not Disclosed,"Crystal Springs, 2.95 Miles",M
League Meet,2016-10-06,2016,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Stanford Invitational,2016-10-01,2016,Not Disclosed,"Stanford GC, 5 Kilometers",M
Ram Invitational,2016-09-24,2016,Not Disclosed,"Westmoor High, 2.4 Miles",M
League Meet,2016-09-22,2016,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
League Meet,2016-09-08,2016,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
CCS Championsips,2015-11-14,2015,Not Disclosed,"Crystal Springs, 2.95 Miles",M
BVAL Championships,2015-11-01,2015,Not Disclosed,"Crystal Springs, 2.95 Miles",M
Mt. Sac XC Invitational,2015-10-24,2015,Not Disclosed,"Mt SAC, 2.93 Miles",M
League Meet,2015-10-21,2015,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
League Meet,2015-10-08,2015,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Ram Invitational,2015-09-26,2015,Not Disclosed,"Westmoor High, 2.4 Miles",M
League Meet,2015-09-24,2015,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Earlybird Invitational,2015-09-12,2015,Not Disclosed,"Toro Park, 3 Miles",M
CCS Championsips,2014-11-15,2014,Not Disclosed,"Toro Park, 3 Miles",M
BVAL Championships,2014-11-03,2014,Not Disclosed,"Crystal Springs, 2.95 Miles",M
Mt. Sac XC Invitational,2014-10-25,2014,Not Disclosed,"Mt SAC, 2.93 Miles",M
League Meet,2014-10-23,2014,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Crystal Springs Invitational,2014-10-11,2014,Not Disclosed,"Crystal Springs, 2.95 Miles",M
League Meet,2014-10-09,2014,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Ram Invitational,2014-09-27,2014,Not Disclosed,"Westmoor High, 2.4 Miles",M
League Meet,2014-09-25,2014,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
DeLaSalle Invitational,2014-09-20,2014,Not Disclosed,"Newhall Park, 2 Miles",M
DeLaSalle Invitational,2014-09-20,2014,Not Disclosed,"Newhall Park, 3 Miles",M
League Meet,2014-09-10,2014,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Earlybird Invitational,2014-09-06,2014,Not Disclosed,"Toro Park, 3 Miles",M
CCS Championsips,2013-11-16,2013,Not Disclosed,"Crystal Springs, 2.95 Miles",M
BVAL Championships,2013-11-04,2013,Not Disclosed,"Crystal Springs, 2.95 Miles",M
Mt. Sac XC Invitational,2013-10-26,2013,Not Disclosed,"Mt SAC, 2.93 Miles",M
League Meet,2013-10-24,2013,Not Disclosed,"Alum Rock, 2.9 Miles",M
Crystal Springs Invitational,2013-10-12,2013,Not Disclosed,"Crystal Springs, 2.95 Miles",M
League Meet,2013-10-10,2013,Not Disclosed,"Alum Rock, 2.9 Miles",M
League Meet,2013-10-01,2013,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Ram Invitational,2013-09-28,2013,Not Disclosed,"Westmoor High, 2.4 Miles",M
League Meet,2013-09-26,2013,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
League Meet,2013-09-12,2013,Not Disclosed,"Montgomery Hill, 2.74 Miles",M
Earlybird Invitational,2013-09-07,2013,Not Disclosed,"Toro Park, 3 Miles",M
CCS Championsips,2012-11-10,2012,Not Disclosed,"Toro Park, 3 Miles",M
BVAL Championships,2012-10-29,2012,Not Disclosed,"Crystal Springs, 2.95 Miles",M
Mt. Sac XC Invitational,2012-10-19,2012,Not Disclosed,"Mt SAC, 2.93 Miles",M
