id,name,location,venue,distance_meters,distance_display,difficulty_rating,elevation_gain_meters,surface_type,terrain_description,course_map_url,athletic_net_id,notes,created_at,updated_at
33394985-4ff9-419d-8de8-40482a04c9b9,Half Moon Bay HS  | 2.25 Miles,,,3621,3621m,1.175350782,,,,,,,2025-10-24T21:04:01.33097+00:00,2025-10-24T21:04:01.33097+00:00
d26beaab-2bc4-4f68-b180-b6c85f07a917,Hellyer Park | 2.1 Miles,,,3380,3380m,1.153619776,,,,,,,2025-10-24T21:04:00.064683+00:00,2025-10-24T21:04:00.064683+00:00
9e6fd777-e2b9-4262-8861-090fb2887d19,Hellyer Park | 2.55 Miles,,,4104,4104m,1.118304885,,,,,,,2025-10-24T21:04:03.478011+00:00,2025-10-24T21:04:03.478011+00:00
01c51096-55ca-481a-a8cb-5f0a6680fcbb,Hellyer Park | 2.6 Miles,,,4184,4184m,1.118304885,,,,,,,2025-10-24T21:04:03.805895+00:00,2025-10-24T21:04:03.805895+00:00
404c2e0d-a70f-40d6-8a58-c0e62bb996fc,Hellyer Park | 2.8 Miles,,,4506,4506m,1.065332549,,,,,,,2025-10-24T21:04:05.209302+00:00,2025-10-24T21:04:05.209302+00:00
fbe95364-ffdc-4ab3-a2ce-5bd61d3a7d12,Hellyer Park | 2.85 Miles,,,4587,4587m,1.153619776,,,,,,,2025-10-24T21:04:05.648347+00:00,2025-10-24T21:04:05.648347+00:00
751823d1-35cb-4248-ac4c-648f6a07dce5,Hellyer Park | 2.9 Miles,,,4667,4667m,1.082989994,,,,,,,2025-10-24T21:04:05.765166+00:00,2025-10-24T21:04:05.765166+00:00
0fed834d-8764-4f6f-923e-c7ac6c04f13b,Hooker Oak Park | 3.5 Kilometers,,,3500,3500m,1.061094762,,,,,,,2025-10-24T21:04:00.659363+00:00,2025-10-24T21:04:00.659363+00:00
abf00508-b147-4848-918c-b3de9411fe4f,Hooker Oak Park | 5 Kilometers,,,5000,5000m,1.144072984,,,,,,,2025-10-24T21:04:08.963472+00:00,2025-10-24T21:04:08.963472+00:00
130f8aa4-7eae-4159-b498-7eb1ae83c561,La Rinconada Area | 5 Kilometers,,,5000,5000m,1.241907004,,,,,,,2025-10-24T21:04:09.552939+00:00,2025-10-24T21:04:09.552939+00:00
5b27eb93-536c-4d62-874e-e938a3cb140b,Lagoon Valley Park | 2 Miles,,,3219,3219m,1.183048852,,,,,,,2025-10-24T21:03:58.94618+00:00,2025-10-24T21:03:58.94618+00:00
259fbf25-f74e-4984-9269-fd14afc78529,Lagoon Valley Park | 3 Miles,,,4828,4828m,1.183048852,,,,,,,2025-10-24T21:04:07.654785+00:00,2025-10-24T21:04:07.654785+00:00
3764b90c-b096-4ed1-bb26-df55cc96bcad,Lake Cunningham Park | 2.75 Miles,,,4426,4426m,1.16656857,,,,,,,2025-10-24T21:04:04.734167+00:00,2025-10-24T21:04:04.734167+00:00
